Si. No. (Col. 1),City (Col. 2),Cases Pending Trial from the Previous Year - (Col. 3),Cases Sent for Trial during the year - (Col. 4),Total Cases for Trial (Col.3+Col.4) - (Col. 5),Cases Abated by Court - (Col. 6),Cases Withdrawn from Prosecution - (Col. 7),Cases Compounded or Compromised - (Col. 8),Cases Disposed off by Plea Bargaining - (Col. 9),Cases Quashed - (Col. 10),Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - (Col. 11),Cases Stayed or Sent to Record Room - (Col. 12),Cases Convicted Out of Cases from Previous Year - (Col. 13),Cases Convicted Out of Cases during the Year - (Col. 14),Cases Convicted (Col.13+Col.14) - (Col. 15),Cases Discharged - (Col. 16),Cases Acquitted - (Col. 17),Cases which Trials were Completed (Col.15+Col.16+ Col.17) - (Col. 18),Cases Disposed off by Courts (Col.11+Col.18) - (Col. 19),Cases Pending Trial at End of the Year (Col.5-Col.19) - (Col. 20),Conviction Rate (Col.15/ Col.18)*100 - (Col. 21),Pendency Percentage (Col.20/ Col.5)*100 - (Col. 22)
1,Ahmedabad (Gujarat),13555,1337,14892,2,0,0,0,3,5,0,7,0,7,0,184,191,196,14696,3.7,98.7
2,Bengaluru (Karnataka),12724,2032,14756,11,0,97,0,24,132,4,20,1,21,2,530,553,685,14071,3.8,95.4
3,Chennai (Tamil Nadu),1867,215,2082,0,82,0,0,1,83,0,5,1,6,0,32,38,121,1961,15.8,94.2
4,Coimbatore (Tamil Nadu),369,93,462,1,0,0,0,4,5,0,8,0,8,0,36,44,49,413,18.2,89.4
5,Delhi City,53105,8543,61648,11,0,114,26,255,406,7,395,6,401,60,380,841,1247,60401,47.7,98
6,Ghaziabad (Uttar Pradesh),3510,271,3781,0,0,0,0,0,0,0,15,1,16,0,44,60,60,3721,26.7,98.4
7,Hyderabad (Telangana),5811,2176,7987,0,0,702,0,0,702,85,192,70,262,0,225,487,1189,6798,53.8,85.1
8,Indore (Madhya Pradesh),4174,1068,5242,0,0,98,0,0,98,0,21,0,21,0,44,65,163,5079,32.3,96.9
9,Jaipur (Rajasthan),9986,1142,11128,0,0,0,5,6,11,0,70,1,71,211,98,380,391,10737,18.7,96.5
10,Kanpur (Uttar Pradesh),3783,1113,4896,0,0,0,0,0,0,0,328,0,328,0,274,602,602,4294,54.5,87.7
11,Kochi (Kerala),3773,415,4188,0,0,1,0,0,1,0,5,0,5,0,41,46,47,4141,10.9,98.9
12,Kolkata (West Bengal),10465,949,11414,0,0,0,0,0,0,0,2,4,6,0,71,77,77,11337,7.8,99.3
13,Kozhikode (Kerala),1018,369,1387,3,0,0,0,11,14,0,5,0,5,0,69,74,88,1299,6.8,93.7
14,Lucknow (Uttar Pradesh),11130,1671,12801,0,0,0,0,0,0,0,9,0,9,9,0,18,18,12783,50,99.9
15,Mumbai (Maharashtra),22368,2895,25263,7,2,92,0,7,108,0,120,1,121,13,316,450,558,24705,26.9,97.8
16,Nagpur (Maharashtra),8792,795,9587,4,1,12,0,2,19,0,0,14,14,0,107,121,140,9447,11.6,98.5
17,Patna (Bihar),4546,566,5112,0,0,0,0,0,0,0,0,0,0,0,17,17,17,5095,0,99.7
18,Pune (Maharashtra),13096,817,13913,1,5,16,0,1,23,0,17,1,18,5,81,104,127,13786,17.3,99.1
19,Surat (Gujarat),6734,605,7339,0,0,0,0,0,0,0,0,1,1,0,0,1,1,7338,100,100
Total Cities,Total Cities,190806,27072,217878,40,90,1132,31,314,1607,96,1219,101,1320,300,2549,4169,5776,212102,31.7,97.3
